iter,train_loss,val_loss,lr,tokens_per_sec,iter_ms
1700,1.920397,,2.400020e-04,19666.2,1666.21
1705,1.978719,,2.396342e-04,19677.7,1665.24
1710,1.964955,,2.392657e-04,19677.0,1665.30
1715,1.926516,,2.388964e-04,19665.8,1666.24
1720,1.951155,,2.385263e-04,19683.0,1664.79
1725,1.868599,,2.381554e-04,19680.2,1665.03
1730,1.910908,,2.377837e-04,19631.0,1669.20
1735,1.896803,,2.374112e-04,19499.3,1680.47
1740,1.910574,,2.370380e-04,19699.3,1663.41
1745,1.882342,,2.366639e-04,19441.9,1685.43
1750,1.880192,1.869140,2.362892e-04,,
1750,1.935307,,2.362892e-04,6217.6,5270.21
1755,1.908947,,2.359136e-04,19655.6,1667.11
1760,1.930159,,2.355373e-04,19399.5,1689.12
1765,1.919726,,2.351602e-04,18452.3,1775.83
1770,1.928292,,2.347824e-04,19736.6,1660.26
1775,1.909371,,2.344039e-04,19735.8,1660.33
1780,1.909570,,2.340246e-04,19696.5,1663.64
1785,1.946710,,2.336445e-04,19621.9,1669.97
1790,1.995601,,2.332637e-04,19572.7,1674.17
1795,1.949829,,2.328822e-04,19671.4,1665.77
1800,1.872716,,2.325000e-04,19679.9,1665.05
1805,1.978824,,2.321170e-04,19692.8,1663.96
1810,1.907178,,2.317334e-04,19680.4,1665.00
1815,1.902630,,2.313490e-04,19660.5,1666.69
1820,1.865270,,2.309639e-04,19680.3,1665.02
1825,1.950744,,2.305781e-04,19651.8,1667.43
1830,1.893984,,2.301915e-04,19658.3,1666.88
1835,1.880372,,2.298043e-04,19663.1,1666.47
1840,1.948654,,2.294164e-04,19667.8,1666.07
1845,1.922894,,2.290278e-04,19658.1,1666.90
1850,1.946944,,2.286386e-04,19676.5,1665.34
1855,1.954946,,2.282486e-04,19680.9,1664.97
1860,1.939569,,2.278580e-04,19683.3,1664.76
1865,1.893422,,2.274666e-04,19684.5,1664.66
1870,1.904507,,2.270747e-04,19669.2,1665.95
1875,1.945991,,2.266820e-04,19592.5,1672.48
1880,1.922511,,2.262887e-04,18830.6,1740.14
1885,1.941504,,2.258948e-04,19668.7,1666.00
1890,1.876912,,2.255001e-04,19690.2,1664.18
1895,1.921006,,2.251049e-04,19676.8,1665.31
1900,1.859731,,2.247090e-04,19666.9,1666.15
1905,1.956409,,2.243124e-04,19675.8,1665.39
1910,1.911630,,2.239152e-04,19592.3,1672.49
1915,1.909376,,2.235174e-04,17244.9,1900.15
1920,1.905679,,2.231190e-04,19675.0,1665.47
1925,1.912240,,2.227199e-04,19679.1,1665.11
1930,1.990124,,2.223203e-04,19679.8,1665.06
